Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,Ticker
350.0,210.0,215.0,2.2114999294281006,2.1619999408721924,,2.9396370148658755,-17.32499599456787,-0.022382993504643234,2024-10-25,2024-11-01,7 days,,CAJ1.F
350.0,215.0,224.0,2.1619999408721924,2.0329999923706055,,2.8253249380588534,-45.14998197555542,-0.05966695283513557,2024-11-01,2024-11-14,13 days,,CAJ1.F
417.0,224.0,227.0,1.6998000144958496,1.3686000108718872,,2.1534821469783787,-138.11040151119232,-0.19484645299417436,2024-11-14,2024-11-19,5 days,,CAJ1.F
417.0,227.0,229.0,1.3686000108718872,1.1851050078868866,,1.7705370458364489,-76.51741624474528,-0.13407496823568077,2024-11-19,2024-11-21,2 days,,CAJ1.F
435.0,229.0,234.0,1.1333999633789062,1.4829384166002275,1.0622702012062073,1.4829384166002275,152.04922715127475,0.3083981511515783,2024-11-21,2024-11-28,7 days,; stop-loss tightened during volatility spike,CAJ1.F
371.0,234.0,235.0,1.7344000339508057,1.3727999925613403,1.2320899486541748,1.8632855511903765,-134.15361535549164,-0.20848710465357478,2024-11-28,2024-11-29,1 days,; closed_due to volatility spike,CAJ1.F
406.0,236.0,237.0,1.250599980354309,1.1993999481201172,0.9360750377178192,1.5019038666486741,-20.78721308708191,-0.04094037505077075,2024-12-02,2024-12-03,1 days,; closed_due to volatility spike,CAJ1.F
406.0,238.0,243.0,1.198799967765808,1.0895999670028687,,1.5819222275018694,-44.33520030975342,-0.09109109417683292,2024-12-04,2024-12-11,7 days,,CAJ1.F
401.0,243.0,275.0,1.100000023841858,0.926800012588501,,1.3969445933103564,-69.45320451259613,-0.15745455227213445,2024-12-11,2025-01-31,51 days,,CAJ1.F
400.0,275.0,288.0,0.926800012588501,0.8031950026750565,,1.2171629696488382,-49.44200396537779,-0.13336750996390534,2025-01-31,2025-02-19,19 days,,CAJ1.F
401.0,288.0,295.0,0.8009999990463257,0.7067799836397171,,0.9959433381557465,-37.78222617805006,-0.11762798441796185,2025-02-19,2025-02-28,9 days,,CAJ1.F
206.0,295.0,302.0,0.6848000288009644,0.7358999848365784,,,10.526590943336487,0.07462025976413345,2025-02-28,2025-03-11,11 days,; partially_closed,CAJ1.F
207.0,295.0,304.0,0.6848000288009644,0.7059999704360962,,0.8505851971507074,4.38838791847229,0.030957857394152688,2025-02-28,2025-03-13,13 days,; partially_closed,CAJ1.F
424.0,304.0,317.0,0.699999988079071,0.6007000207901001,,0.8885160198211671,-42.10318613052368,-0.1418570985429134,2025-03-13,2025-04-01,19 days,,CAJ1.F
423.0,317.0,321.0,0.6007000207901001,0.4876999855041504,,0.7483538893461228,-47.799014925956726,-0.18811391938578736,2025-04-01,2025-04-07,6 days,,CAJ1.F
212.0,321.0,324.0,0.4876999855041504,0.54830002784729,,,12.847208976745605,0.12425680570914,2025-04-07,2025-04-10,3 days,; partially_closed,CAJ1.F
211.0,321.0,345.0,0.4876999855041504,0.7139999866485596,0.6283150285482406,0.6930165204405786,47.74930024147034,0.46401477931248225,2025-04-07,2025-05-14,37 days,; partially_closed,CAJ1.F
375.0,345.0,349.0,0.7099999785423279,0.6154999732971191,,0.8911139863729478,-35.43750196695328,-0.13309860295942944,2025-05-14,2025-05-20,6 days,,CAJ1.F
374.0,349.0,351.0,0.6154999732971191,0.5156749933958054,,0.7404299907088281,-37.334542483091354,-0.16218518965414386,2025-05-20,2025-05-22,2 days,,CAJ1.F
375.0,351.0,367.0,0.5130000114440918,0.46720001101493835,,0.6495000000000001,-17.17500016093254,-0.08927875128155793,2025-05-22,2025-06-13,22 days,,CAJ1.F
375.0,367.0,376.0,0.46720001101493835,0.40400001406669617,,0.5939027879834176,-23.69999885559082,-0.135273962881438,2025-06-13,2025-06-26,13 days,,CAJ1.F
187.0,376.0,381.0,0.40400001406669617,0.4625999927520752,,,10.958196014165878,0.1450494471411201,2025-06-26,2025-07-03,7 days,; partially_closed,CAJ1.F
187.0,376.0,391.0,0.40400001406669617,0.444599986076355,,0.535447805017233,7.592194765806198,0.1004949767228378,2025-06-26,2025-07-17,21 days,; partially_closed,CAJ1.F
